ticker,security_name,sp500,djia30
KSU,Kansas City Southern,TRUE,FALSE
K,Kellogg Co.,TRUE,FALSE
KEY,KeyCorp,TRUE,FALSE
KEYS,Keysight Technologies,TRUE,FALSE
KMB,Kimberly-Clark,TRUE,FALSE
KIM,Kimco Realty,TRUE,FALSE
KMI,Kinder Morgan,TRUE,FALSE
KLAC,KLA Corporation,TRUE,FALSE
KSS,Kohl's Corp.,TRUE,FALSE
KHC,Kraft Heinz Co,TRUE,FALSE
KR,Kroger Co.,TRUE,FALSE
LB,L Brands Inc.,TRUE,FALSE
LHX,L3Harris Technologies,TRUE,FALSE
LH,Laboratory Corp. of America Holding,TRUE,FALSE
LRCX,Lam Research,TRUE,FALSE
LW,Lamb Weston Holdings Inc,TRUE,FALSE
LVS,Las Vegas Sands,TRUE,FALSE
LEG,Leggett & Platt,TRUE,FALSE
LDOS,Leidos Holdings,TRUE,FALSE
LEN,Lennar Corp.,TRUE,FALSE
LLY,Lilly (Eli) & Co.,TRUE,FALSE
LNC,Lincoln National,TRUE,FALSE
LIN,Linde plc,TRUE,FALSE
LYV,Live Nation Entertainment,TRUE,FALSE
LKQ,LKQ Corporation,TRUE,FALSE
LMT,Lockheed Martin Corp.,TRUE,FALSE
L,Loews Corp.,TRUE,FALSE
LOW,Lowe's Cos.,TRUE,FALSE
LYB,LyondellBasell,TRUE,FALSE
MTB,M&T Bank Corp.,TRUE,FALSE
MRO,Marathon Oil Corp.,TRUE,FALSE
MPC,Marathon Petroleum,TRUE,FALSE
MKTX,MarketAxess,TRUE,FALSE
MAR,Marriott Int'l.,TRUE,FALSE
MMC,Marsh & McLennan,TRUE,FALSE
MLM,Martin Marietta Materials,TRUE,FALSE
MAS,Masco Corp.,TRUE,FALSE
MA,Mastercard Inc.,TRUE,FALSE
MKC,McCormick & Co.,TRUE,FALSE
MXIM,Maxim Integrated Products Inc,TRUE,FALSE
MCD,McDonald's Corp.,TRUE,TRUE
MCK,McKesson Corp.,TRUE,FALSE
MDT,Medtronic plc,TRUE,FALSE
MRK,Merck & Co.,TRUE,TRUE
MET,MetLife Inc.,TRUE,FALSE
MTD,Mettler Toledo,TRUE,FALSE
MGM,MGM Resorts International,TRUE,FALSE
MCHP,Microchip Technology,TRUE,FALSE
MU,Micron Technology,TRUE,FALSE
MSFT,Microsoft Corp.,TRUE,TRUE
MAA,Mid-America Apartments,TRUE,FALSE
MHK,Mohawk Industries,TRUE,FALSE
TAP,Molson Coors Beverage Company,TRUE,FALSE
MDLZ,Mondelez International,TRUE,FALSE
MNST,Monster Beverage,TRUE,FALSE
MCO,Moody's Corp,TRUE,FALSE
MS,Morgan Stanley,TRUE,FALSE
MOS,The Mosaic Company,TRUE,FALSE
MSI,Motorola Solutions Inc.,TRUE,FALSE
MSCI,MSCI Inc,TRUE,FALSE
MYL,Mylan N.V.,TRUE,FALSE
NDAQ,"Nasdaq, Inc.",TRUE,FALSE
NOV,National Oilwell Varco Inc.,TRUE,FALSE
NTAP,NetApp,TRUE,FALSE
NFLX,Netflix Inc.,TRUE,FALSE
NWL,Newell Brands,TRUE,FALSE
NEM,Newmont Corporation,TRUE,FALSE
NWSA,News Corp. Class A,TRUE,FALSE
NWS,News Corp. Class B,TRUE,FALSE
NEE,NextEra Energy,TRUE,FALSE
NLSN,Nielsen Holdings,TRUE,FALSE
NKE,"Nike, Inc.",TRUE,TRUE
NI,NiSource Inc.,TRUE,FALSE
NBL,Noble Energy Inc,TRUE,FALSE
NSC,Norfolk Southern Corp.,TRUE,FALSE
NTRS,Northern Trust Corp.,TRUE,FALSE
NOC,Northrop Grumman,TRUE,FALSE
NLOK,NortonLifeLock,TRUE,FALSE
NCLH,Norwegian Cruise Line Holdings,TRUE,FALSE
NRG,NRG Energy,TRUE,FALSE
NUE,Nucor Corp.,TRUE,FALSE
NVDA,Nvidia Corporation,TRUE,FALSE
NVR,"NVR, Inc.",TRUE,FALSE
ORLY,O'Reilly Automotive,TRUE,FALSE
OXY,Occidental Petroleum,TRUE,FALSE
ODFL,Old Dominion Freight Line,TRUE,FALSE
OMC,Omnicom Group,TRUE,FALSE
OKE,ONEOK,TRUE,FALSE
ORCL,Oracle Corp.,TRUE,FALSE
OTIS,Otis Worldwide,TRUE,FALSE
PCAR,PACCAR Inc.,TRUE,FALSE
PKG,Packaging Corporation of America,TRUE,FALSE
PH,Parker-Hannifin,TRUE,FALSE
PAYX,Paychex Inc.,TRUE,FALSE
PAYC,Paycom,TRUE,FALSE
PYPL,PayPal,TRUE,FALSE
PNR,Pentair plc,TRUE,FALSE
PBCT,People's United Financial,TRUE,FALSE
PEP,PepsiCo Inc.,TRUE,FALSE
PKI,PerkinElmer,TRUE,FALSE
PRGO,Perrigo,TRUE,FALSE
PFE,Pfizer Inc.,TRUE,TRUE
PM,Philip Morris International,TRUE,FALSE
PSX,Phillips 66,TRUE,FALSE
PNW,Pinnacle West Capital,TRUE,FALSE
PXD,Pioneer Natural Resources,TRUE,FALSE
PNC,PNC Financial Services,TRUE,FALSE
PPG,PPG Industries,TRUE,FALSE
PPL,PPL Corp.,TRUE,FALSE
PFG,Principal Financial Group,TRUE,FALSE
PG,Procter & Gamble,TRUE,TRUE
PGR,Progressive Corp.,TRUE,FALSE
PLD,Prologis,TRUE,FALSE
PRU,Prudential Financial,TRUE,FALSE
PEG,Public Service Enterprise Group (PSEG),TRUE,FALSE
PSA,Public Storage,TRUE,FALSE
PHM,PulteGroup,TRUE,FALSE
