date,company_name,name,action
10/6/1997,Yum! Brands Inc,YUM,added_ticker
12/4/1997,BB&T Corporation,BBT,added_ticker
12/18/1997,Cincinnati Financial,CINF,added_ticker
7/1/1998,Capital One Financial,COF,added_ticker
8/28/1998,Regions Financial Corp.,RF,added_ticker
10/2/1998,AES Corp,AES,added_ticker
12/22/1998,Carnival Corp.,CCL,added_ticker
3/25/1999,CenturyLink Inc,CTL,added_ticker
4/12/1999,"Allergan, Plc",AGN,added_ticker
5/3/1999,CMS Energy,CMS,added_ticker
5/28/1999,AFLAC Inc,AFL,added_ticker
6/25/1999,NetApp,NTAP,added_ticker
6/29/1999,Best Buy Co. Inc.,BBY,added_ticker
6/30/1999,Vulcan Materials,VMC,added_ticker
10/12/1999,"Analog Devices, Inc.",ADI,added_ticker
11/8/1999,Xilinx,XLNX,added_ticker
12/1/1999,Citrix Systems,CTXS,added_ticker
6/5/2000,Agilent Technologies Inc,A,added_ticker
6/21/2000,Tiffany & Co.,TIF,added_ticker
8/30/2000,Devon Energy,DVN,added_ticker
11/2/2000,EOG Resources,EOG,added_ticker
12/5/2000,Owens-Illinois,OI,removed_ticker
12/5/2000,Allegheny Energy,AYE,added_ticker
12/5/2000,W.R. Grace,GRA,removed_ticker
12/5/2000,Crown Holdings,CCK,removed_ticker
12/5/2000,Symbol Technologies,SBL,added_ticker
12/5/2000,Robert Half International,RHI,added_ticker
12/5/2000,Bethlehem Steel,BS,removed_ticker
12/5/2000,Ambac Financial,ABK,added_ticker
12/5/2000,Intuit Inc.,INTU,added_ticker
12/12/2000,Stryker Corp.,SYK,added_ticker
3/1/2001,Cintas Corporation,CTAS,added_ticker
4/2/2001,Fiserv Inc,FISV,added_ticker
6/22/2001,Zions Bancorp,ZION,added_ticker
8/7/2001,Zimmer Biomet Holdings,ZBH,added_ticker
8/30/2001,AmerisourceBergen Corp,ABC,added_ticker
11/30/2001,Nvidia Corporation,NVDA,added_ticker
12/3/2001,Equity Residential,EQR,added_ticker
6/26/2002,Simon Property Group Inc,SPG,added_ticker
7/22/2002,United Parcel Service,UPS,added_ticker
7/22/2002,Electronic Arts,EA,added_ticker
7/22/2002,Principal Financial Group,PFG,added_ticker
7/22/2002,Goldman Sachs Group,GS,added_ticker
7/22/2002,Prudential Financial,PRU,added_ticker
7/25/2002,Anthem,ANTM,added_ticker
8/21/2002,The Travelers Companies Inc.,TRV,added_ticker
12/12/2002,Quest Diagnostics,DGX,added_ticker
3/14/2003,Apartment Investment & Management,AIV,added_ticker
3/25/2003,Symantec Corp.,SYMC,added_ticker
7/17/2003,Prologis,PLD,added_ticker
9/25/2003,Quintiles Transnational,QTRN,removed_ticker
9/25/2003,Express Scripts,ESRX,added_ticker
11/13/2003,Biogen Inc.,BIIB,added_ticker
3/31/2004,E*Trade,ETFC,added_ticker
4/23/2004,Mylan N.V.,MYL,added_ticker
7/1/2004,Gilead Sciences,GILD,added_ticker
11/1/2004,Laboratory Corp. of America Holding,LH,added_ticker
3/14/2005,National Oilwell Varco Inc.,NOV,added_ticker
7/1/2005,Great Lakes Chemical,GLK,removed_ticker
7/1/2005,Constellation Brands,STZ,added_ticker
8/19/2005,Public Storage,PSA,added_ticker
10/3/2005,Ameriprise Financial,AMP,added_ticker
10/4/2005,Lennar Corp.,LEN,added_ticker
11/18/2005,Amazon.com Inc.,AMZN,added_ticker
1/5/2006,Estee Lauder Cos.,EL,added_ticker
2/1/2006,Verisign Inc.,VRSN,added_ticker
4/3/2006,Boston Properties,BXP,added_ticker
4/3/2006,Alphabet Inc Class C,GOOG,added_ticker
4/4/2006,Kimco Realty,KIM,added_ticker
8/11/2006,CME Group Inc.,CME,added_ticker
11/6/2006,Celgene Corp.,CELG,added_ticker
